store_id,avg_weekly_sales_12mo,store_size_sqft,median_income,location_tier,fashion_tier,store_format,region,foot_traffic,competitor_density,online_penetration,population_density,mall_location
MS_010,672.1245808669711,10159.364365206691,82107.14286571693,B,Mainstream,ShoppingCenter,Midwest,507,2.0,0.27,8,False
MS_011,579.5753198553406,11718.790609370291,103284.2132847546,B,Mainstream,Standalone,Southeast,585,5.1,0.49,10,False
MS_012,594.9121478207732,9826.13828193164,82645.41530258917,C,Mainstream,ShoppingCenter,Southeast,491,3.3,0.32,8,False
MS_013,688.5931066774888,11584.365199693972,86130.12162401524,B,Mainstream,Standalone,Northeast,579,6.6,0.47,8,False
MS_014,628.7776646977417,10590.76048216545,75018.21319483605,B,Mainstream,Standalone,Midwest,529,1.8,0.39,7,False
MS_015,620.2556728321231,9669.644012595116,82773.77336647557,B,Mainstream,ShoppingCenter,West,483,3.0,0.44,8,False
MS_016,608.2706433312427,8976.502088991097,80890.18647605256,C,Mainstream,ShoppingCenter,West,448,1.7,0.35,8,True
MS_017,572.8471595766368,11887.128330883845,108685.6553229739,C,Mainstream,Standalone,Southeast,594,6.5,0.37,10,True
MS_018,690.1979369329647,10849.082359697768,80183.04254836899,C,Mainstream,Standalone,Midwest,542,6.3,0.35,8,True
MS_019,623.0115104970513,8205.915004999957,84752.6262482814,B,Mainstream,Standalone,Midwest,410,2.5,0.26,8,False
FF_000,967.7945267491172,17764.93816088337,138892.05624927115,A,Premium,Mall,West,888,5.0,0.42,13,True
FF_001,888.5693688709013,14663.462807946798,147769.73568753368,A,Premium,Mall,West,733,5.9,0.28,14,False
FF_002,865.1159819612064,16292.104441122268,159254.04134026793,A,Premium,Mall,West,814,4.3,0.21,15,False
FF_003,767.1615508882138,18847.117469124667,129435.10292372812,A,Premium,Mall,West,942,4.2,0.39,12,True
FF_004,824.6136969150743,17870.689647536172,153626.1462166174,A,Premium,Mall,West,893,2.5,0.25,15,False
FF_005,726.960194136032,17516.20953286615,122846.48930522462,A,Premium,Mall,Northeast,875,1.6,0.48,12,True
FF_006,824.1137784883616,15783.004147612655,138298.8107737366,A,Premium,Mall,West,789,6.4,0.49,13,True
FF_007,796.7041360614031,13794.314648684123,156611.2128225353,A,Premium,Mall,West,689,6.4,0.47,15,False
FF_008,766.869257570269,17870.490795415575,125284.75098087848,A,Premium,Mall,West,893,4.8,0.31,12,True
FF_009,833.6475960762477,16707.554048492046,125883.35309052032,A,Premium,Mall,West,835,3.0,0.2,12,True
FF_010,898.4285652569457,19757.935459021555,140123.2054123194,A,Premium,Mall,West,987,3.1,0.48,14,False
FF_011,733.5975131389721,15444.467022288629,147668.00554916076,A,Premium,Mall,Northeast,772,5.4,0.33,14,False
FF_012,891.4436353668184,18994.270043146647,133202.86572049855,A,Premium,Mall,Northeast,949,6.4,0.49,13,True
FF_013,779.1985167052906,14131.400998662297,155434.93848371855,A,Premium,Mall,West,706,6.3,0.49,15,False
FF_014,833.9352218296602,17064.806350055183,131752.72449527844,A,Premium,Mall,Northeast,853,5.7,0.46,13,True
